Node	Index	Nsample	Psample	Pfilter	Pbest
100	9	10000	0.1257	0.2485	0.832
100	10	10000	0.0189	0.0384	0.168
100	11	10000	0.0331	0.102	0.323
100	12	10000	0.0829	0.1314	0.305
100	13	10000	0.0938	0.2031	0.392
100	14	10000	0.0954	0.1342	0.314
100	15	10000	0.0061	0.0257	0.074
100	16	10000	0.0291	0.0428	0.094
100	17	10000	0.0969	0.1331	0.252
100	18	10000	0.1245	0.3108	0.702
100	19	10000	0.1065	0.137	0.502
110	0	10000	0.1922	0.2727	0.763
110	1	10000	0.2908	0.4918	0.928
110	2	10000	0.0404	0.0609	0.218
110	3	10000	0.0124	0.0475	0.112
110	4	10000	0.0047	0.0085	0.024
110	5	10000	0.0552	0.1903	0.552
110	6	10000	0.0934	0.2333	0.48
110	7	10000	0.1198	0.136	0.261
110	8	10000	0.0396	0.0868	0.167
110	9	10000	0.1138	0.1661	0.43
110	10	10000	0.0176	0.0221	0.118
110	11	10000	0.0054	0.0269	0.075
110	12	10000	0.0056	0.0148	0.041
110	13	10000	0.0649	0.0789	0.362
110	14	10000	0.045	0.0912	0.192
110	15	10000	0.0147	0.0535	0.104
110	16	10000	0.0219	0.0333	0.111
110	17	10000	0.0045	0.0095	0.029
110	18	10000	0.0128	0.0417	0.224
110	19	10000	0.104	0.1236	0.265
120	0	10000	9E-4	9E-4	0.003
120	1	10000	0.057	0.1204	0.277
120	2	10000	0.0225	0.0358	0.131
120	3	10000	0.0024	0.0077	0.027
120	4	10000	0.0226	0.0545	0.258
120	5	10000	0.1541	0.257	0.449
120	6	10000	0.0537	0.1912	0.404
120	7	10000	0.0327	0.0522	0.127
120	8	10000	0.0408	0.0706	0.14
120	9	10000	0.0067	0.0268	0.201
120	10	10000	0.0877	0.1884	0.632
120	11	10000	0.012	0.0168	0.065
120	12	10000	0.0391	0.0755	0.327
120	13	10000	0.0144	0.0657	0.152
120	14	10000	0.0224	0.0264	0.113
120	15	10000	0.0157	0.0527	0.126
120	16	10000	0.0126	0.0186	0.074
120	17	10000	0.037	0.0575	0.134
120	18	10000	0.1598	0.259	0.472
120	19	10000	0.0116	0.0198	0.04
130	0	10000	0.106	0.1228	0.295
130	1	10000	0.0044	0.0131	0.049
130	2	10000	0.0628	0.1699	0.438
130	3	10000	0.0512	0.1914	0.602
130	4	10000	0.09	0.2717	0.663
130	5	10000	0.0028	0.0059	0.028
130	6	10000	0.0204	0.0279	0.104
130	7	10000	0.0012	0.0075	0.02
130	8	10000	0.0469	0.0521	0.179
130	9	10000	0.0561	0.1329	0.374
130	10	10000	0.0188	0.0199	0.067
130	11	10000	0.0061	0.012	0.04
130	12	10000	0.0272	0.0431	0.142
130	13	10000	0.0051	0.013	0.045
130	14	10000	0.0056	0.0064	0.016
130	15	10000	0.0191	0.0623	0.164
130	16	10000	0.0041	0.0223	0.055
130	17	10000	0.0038	0.0066	0.017
130	18	10000	0.1981	0.3393	0.586
130	19	10000	0.0032	0.0081	0.013
140	0	10000	0.0083	0.022	0.057
140	1	10000	0.0343	0.0465	0.148
140	2	10000	0.007	0.0148	0.03
140	3	10000	0.0091	0.0102	0.032
140	4	10000	0.0019	0.008	0.03
140	5	10000	0.0019	0.0034	0.009
140	6	10000	0.0209	0.0329	0.059
140	7	10000	0.0963	0.1424	0.253
140	8	10000	0.0181	0.0363	0.069
140	9	10000	0.1576	0.1944	0.608
140	10	10000	0.0694	0.1872	0.415
140	11	10000	0.0215	0.0323	0.079
140	12	10000	0.0083	0.0223	0.052
140	13	10000	0.0053	0.0114	0.024
140	14	10000	0.0305	0.0483	0.09
140	15	10000	0.0322	0.045	0.101
140	16	10000	0.0332	0.0472	0.14
140	17	10000	0.0259	0.1881	0.395
140	18	10000	0.0101	0.0324	0.062
140	19	10000	0.0449	0.0808	0.193
150	0	10000	0.0011	0.0032	0.012
150	1	10000	5E-4	0.0016	0.006
150	2	10000	0.0229	0.0348	0.066
150	3	10000	0.0099	0.0704	0.129
150	4	10000	0.0069	0.0274	0.082
150	5	10000	0.0065	0.0073	0.017
150	6	10000	0.1494	0.1903	0.311
150	7	10000	0.0134	0.0242	0.061
150	8	10000	0.0229	0.0968	0.219
150	9	10000	0.1405	0.2347	0.842
150	10	10000	0.0165	0.0189	0.086
150	11	10000	0.0073	0.0171	0.048
150	12	10000	0.0051	0.0114	0.025
150	13	10000	0.0379	0.1086	0.193
150	14	10000	0.0049	0.021	0.07
150	15	10000	0.0173	0.0272	0.078
150	16	10000	0.0042	0.0147	0.048
150	17	10000	0.0146	0.0305	0.066
150	18	10000	0.0048	0.0384	0.186
150	19	10000	0.0392	0.0622	0.115
160	0	10000	9E-4	0.0013	0.005
160	1	10000	0.0176	0.0342	0.105
160	2	10000	0.0416	0.0505	0.096
160	3	10000	0.0726	0.1691	0.382
160	4	10000	0.0112	0.0332	0.124
160	5	10000	0.047	0.0839	0.15
160	6	10000	0.1889	0.2716	0.506
160	7	10000	0.0131	0.015	0.057
160	8	10000	0.0465	0.051	0.23
160	9	10000	0.0058	0.0167	0.082
160	10	10000	0.0019	0.0028	0.012
160	11	10000	0.001	0.0026	0.006
160	12	10000	0.0313	0.0516	0.109
160	13	10000	0.0088	0.014	0.029
160	14	10000	0.0342	0.0564	0.094
160	15	10000	0.0106	0.0157	0.045
160	16	10000	0.004	0.0056	0.018
160	17	10000	0.0072	0.0102	0.031
160	18	10000	0.0012	0.0026	0.008
160	19	10000	0.0173	0.0349	0.063
170	0	10000	0.0073	0.0092	0.025
170	1	10000	0.0078	0.0233	0.114
170	2	10000	0.0693	0.2352	0.837
170	3	10000	0.0019	0.0038	0.013
170	4	10000	0.0115	0.022	0.068
170	5	10000	0.0543	0.0771	0.217
170	6	10000	0.0672	0.0882	0.236
170	7	10000	0.0462	0.0816	0.222
170	8	10000	0.0135	0.0219	0.086
170	9	10000	0.0017	0.0063	0.015
170	10	10000	7E-4	0.0011	0.004
170	11	10000	0.0062	0.0267	0.082
170	12	10000	0.0079	0.013	0.022
170	13	10000	0.0019	0.005	0.012
170	14	10000	0.0401	0.0815	0.227
170	15	10000	0.0051	0.0118	0.028
170	16	10000	0.0044	0.0056	0.017
170	17	10000	0.0059	0.0088	0.019
170	18	10000	0.0125	0.0206	0.055
170	19	10000	0.0052	0.0085	0.02
180	0	10000	0.0032	0.0042	0.014
180	1	10000	0.1239	0.1569	0.417
180	2	10000	0.0053	0.0085	0.021
180	3	10000	0.0037	0.0056	0.015
180	4	10000	0.0045	0.0463	0.154
180	5	10000	0.0128	0.0209	0.067
180	6	10000	0.0111	0.0264	0.095
180	7	10000	0.0095	0.0438	0.088
180	8	10000	0.0023	0.0096	0.042
180	9	10000	0.0211	0.0321	0.105
180	10	10000	2E-4	0.0036	0.03
180	11	10000	3E-4	0.0012	0.009
180	12	10000	0.0022	0.0074	0.029
180	13	10000	0.0037	0.0086	0.018
180	14	10000	0.0026	0.0043	0.012
180	15	10000	0.0274	0.0752	0.213
180	16	10000	0.0422	0.0722	0.126
180	17	10000	4E-4	0.0014	0.003
180	18	10000	0.0243	0.0954	0.256
180	19	10000	0.0633	0.1441	0.409
190	0	10000	0.0504	0.1205	0.388
190	1	10000	0.0043	0.0113	0.051
190	2	10000	0.0061	0.0124	0.037
190	3	10000	0.0162	0.0257	0.06
190	4	10000	0.0033	0.0068	0.021
190	5	10000	0.0507	0.0988	0.236
190	6	10000	0.0041	0.0138	0.033
190	7	10000	0.0432	0.0598	0.104
190	8	10000	0.0216	0.0511	0.106
190	9	10000	0.0052	0.0058	0.035
190	10	10000	0.0082	0.012	0.039
190	11	10000	0.0601	0.1349	0.293
190	12	10000	4E-4	0.0012	0.003
190	13	10000	0.0192	0.0548	0.185
190	14	10000	0	0	0
190	15	10000	0.0183	0.0239	0.083
190	16	10000	0.0175	0.0279	0.131
190	17	10000	0.0325	0.0517	0.107
190	18	10000	0.0383	0.0398	0.168
190	19	10000	0.0038	0.0068	0.018
200	0	10000	0.0111	0.0129	0.047
200	1	10000	0.0166	0.0344	0.099
200	2	10000	0.0203	0.0306	0.108
200	3	10000	0.0102	0.0168	0.039
200	4	10000	0.0079	0.0096	0.035
200	5	10000	8E-4	0.0015	0.004
200	6	10000	0.0049	0.0069	0.02
200	7	10000	0.0033	0.008	0.022
200	8	10000	0.0739	0.0944	0.248
200	9	10000	2E-4	4E-4	0.002
200	10	10000	0.0142	0.0422	0.097
200	11	10000	0.126	0.2028	0.369
200	12	10000	0.0157	0.0508	0.162
200	13	10000	0.0154	0.0288	0.058
200	14	10000	0.001	0.0036	0.01
200	15	10000	0.0016	0.0098	0.034
200	16	10000	0.0091	0.0173	0.045
200	17	10000	0.0085	0.0146	0.054
200	18	10000	0.0041	0.0159	0.044
200	19	10000	0.0019	0.004	0.012
